vetor pesos sinapticos original:
0.270638 0.026856 0.416089 0.022401 
0.138646 0.712363 0.540147 0.962371 
0.822230 0.833277 0.617359 0.545274 
0.225166 0.381909 0.060183 0.866604 
0.563982 0.701621 0.360546 0.384442 
0.161748 0.229560 0.486587 0.855098 
0.267891 0.163488 0.507767 0.582446 
0.934050 0.958373 0.729637 0.138432 
0.478103 0.059297 0.119968 0.210242 
0.567400 0.777367 0.306681 0.730979 
0.452193 0.713858 0.929685 0.949339 
0.380810 0.639912 0.627247 0.595477 
0.727714 0.237281 0.438520 0.798608 
0.865688 0.606861 0.903256 0.912626 
0.313395 0.950804 0.640004 0.906583 
0.189795 0.334910 0.684164 0.475478 
0.505905 0.937407 0.367016 0.528275 
0.326304 0.689901 0.017060 0.209021 
0.330790 0.717734 0.264718 0.107395 
0.807550 0.484939 0.231971 0.814905 
0.609363 0.050844 0.387951 0.483200 
0.103916 0.343974 0.351787 0.540544 
0.649678 0.860012 0.423994 0.222633 
0.627918 0.689779 0.127628 0.074129 
0.563250 0.283395 0.540361 0.077303 
0.362865 0.857387 0.698935 0.563799 
0.206305 0.850002 0.857143 0.565661 
0.116977 0.332316 0.878536 0.762352 
0.746269 0.780236 0.544969 0.679708 
0.402203 0.113987 0.062899 0.296731 
0.853084 0.411908 0.547533 0.717399 
0.938108 0.203803 0.767357 0.062593 
0.515641 0.750938 0.929228 0.239448 
0.780816 0.218513 0.786065 0.743736 
0.483291 0.147038 0.847804 0.151433 
0.076907 0.128574 0.977294 0.456679 
0.332072 0.094607 0.152074 0.910825 
0.442335 0.121281 0.673574 0.520341 
0.156285 0.158513 0.604602 0.858913 
0.966308 0.589221 0.716819 0.350291 
0.884823 0.024781 0.729209 0.678030 
0.840175 0.243324 0.118534 0.478530 
0.222480 0.676504 0.283792 0.973479 
0.611408 0.351482 0.344890 0.697928 
0.216590 0.694449 0.357891 0.980499 
0.062471 0.101413 0.226966 0.331645 
0.448256 0.683065 0.095370 0.396405 
0.714713 0.089358 0.495834 0.627888 
0.848750 0.821039 0.042085 0.337626 
0.957213 0.933042 0.942747 0.279244 
0.140965 0.537248 0.118503 0.421583 
0.800836 0.010041 0.204291 0.067354 
0.906003 0.311411 0.217383 0.973937 
0.257027 0.321268 0.172613 0.632313 
0.274117 0.600024 0.426435 0.360424 
0.341746 0.478957 0.030396 0.367290 
0.241646 0.886990 0.875973 0.444044 
0.704428 0.820063 0.911252 0.438093 
0.612049 0.859401 0.211554 0.166936 
0.881741 0.644612 0.184637 0.927549 
0.562548 0.708487 0.691733 0.257607 
0.176580 0.578936 0.366192 0.105167 
0.835292 0.555193 0.910489 0.062716 
0.162175 0.063845 0.652852 0.821741 
0.554003 0.001160 0.145116 0.504379 
0.810572 0.968169 0.082888 0.028535 
0.665242 0.804346 0.328837 0.161931 
0.246895 0.326670 0.321268 0.422285 
0.004852 0.679800 0.648335 0.479202 
0.128086 0.203711 0.069643 0.214393 
0.989441 0.225562 0.766503 0.096316 
0.646901 0.681265 0.101596 0.025544 
0.932554 0.973479 0.670125 0.306986 
0.160680 0.972289 0.922758 0.905362 
0.986358 0.564684 0.142430 0.640217 
0.445448 0.659017 0.055879 0.476638 
0.707877 0.050783 0.860927 0.567675 
0.574633 0.056215 0.951262 0.205267 
0.250465 0.319376 0.119755 0.335490 
0.423109 0.699545 0.521531 0.794519 
0.180242 0.644887 0.177740 0.921415 
0.796014 0.958678 0.302164 0.704489 
0.917417 0.364330 0.230750 0.116672 
0.182684 0.775689 0.236366 0.796899 
0.802637 0.678213 0.009369 0.733268 
0.135594 0.528367 0.085391 0.104465 
0.788598 0.576159 0.001740 0.935789 
0.274270 0.018403 0.463637 0.725455 
0.756371 0.887783 0.301096 0.698477 
0.914060 0.584796 0.498733 0.843196 
0.456679 0.458419 0.078341 0.387432 
0.320200 0.341929 0.116886 0.870602 
0.076449 0.449965 0.679922 0.467360 
0.586657 0.543138 0.952849 0.719810 
0.430189 0.766655 0.350230 0.333872 
0.140049 0.068697 0.885159 0.196600 
0.776360 0.605701 0.579455 0.270302 
0.868587 0.039338 0.196295 0.519944 
0.258736 0.133274 0.076144 0.529893 
0.875790 0.554338 0.357799 0.966582 
0.973022 0.285226 0.364971 0.542741 
0.859676 0.554979 0.440535 0.640431 
0.657949 0.692801 0.009125 0.247841 
0.116459 0.812647 0.149632 0.367351 
0.011902 0.733451 0.458357 0.550218 
0.169591 0.042299 0.484909 0.714499 
0.634388 0.706595 0.521287 0.902738 
0.023499 0.140660 0.025788 0.134800 
0.592120 0.134465 0.463210 0.013306 
0.042756 0.549394 0.841700 0.236671 
0.610736 0.187933 0.728813 0.676992 
0.455641 0.743614 0.026856 0.178411 
0.891079 0.237068 0.289651 0.732749 
0.483352 0.844935 0.860958 0.187811 
