vetor pesos sinapticos original:
0.275521 0.099612 0.129460 0.005768 
0.562670 0.584216 0.194372 0.585009 
0.513016 0.639698 0.396191 0.611164 
0.330790 0.124638 0.245491 0.793298 
0.666555 0.253975 0.098117 0.562334 
0.232063 0.379162 0.939207 0.344462 
0.104617 0.700400 0.371715 0.219550 
0.877132 0.441389 0.217139 0.745506 
0.310038 0.518662 0.632832 0.229774 
0.641499 0.235725 0.153935 0.229652 
0.212043 0.034333 0.565020 0.561907 
0.559954 0.833583 0.007935 0.603961 
0.643391 0.987671 0.232765 0.166845 
0.346080 0.394879 0.396954 0.722068 
0.922178 0.787408 0.319956 0.262795 
0.536851 0.734519 0.599048 0.581652 
0.559069 0.389782 0.492843 0.245186 
0.762200 0.513657 0.978423 0.047273 
0.089297 0.802545 0.888638 0.222083 
0.139317 0.056154 0.535997 0.198065 
0.029664 0.213599 0.728599 0.174230 
0.792596 0.790063 0.585437 0.300119 
0.960540 0.745140 0.056368 0.740196 
0.497635 0.313913 0.553789 0.404462 
0.732871 0.832392 0.601337 0.626453 
0.451308 0.088168 0.907193 0.569445 
0.800348 0.227699 0.766717 0.642750 
0.165899 0.751701 0.201880 0.708640 
0.676321 0.629292 0.743065 0.362041 
0.488815 0.063021 0.259743 0.063295 
0.515854 0.935148 0.746361 0.405866 
0.747032 0.466933 0.469222 0.300119 
0.822840 0.122074 0.381420 0.354259 
0.016755 0.285684 0.211097 0.233863 
0.281838 0.749565 0.130161 0.281075 
0.517808 0.535600 0.409192 0.174993 
0.715323 0.088473 0.964873 0.914151 
0.133244 0.368297 0.206244 0.902463 
0.165563 0.875301 0.086337 0.420270 
0.053835 0.137181 0.764641 0.261086 
0.101718 0.690786 0.787439 0.815638 
0.547624 0.088900 0.192114 0.384533 
0.751885 0.964019 0.441145 0.000671 
0.854518 0.679678 0.592761 0.542741 
0.560076 0.601184 0.613971 0.420576 
0.205634 0.516678 0.242592 0.614673 
0.768273 0.239601 0.304147 0.350017 
0.968108 0.924558 0.890378 0.186010 
0.123447 0.126591 0.304971 0.803735 
0.914304 0.136692 0.183477 0.271676 
0.709738 0.623280 0.693075 0.071322 
0.616657 0.111820 0.218635 0.663594 
0.905118 0.333689 0.441633 0.877712 
0.966979 0.975188 0.217627 0.903378 
0.463851 0.858455 0.158818 0.168035 
0.821100 0.085055 0.328196 0.879849 
0.723289 0.173894 0.950926 0.518021 
0.768365 0.724265 0.549730 0.051790 
0.935881 0.635823 0.410566 0.168981 
0.026154 0.416334 0.784143 0.295663 
0.726310 0.608478 0.730338 0.688101 
0.459456 0.867153 0.011505 0.378124 
0.673513 0.718375 0.940672 0.253426 
0.725394 0.531175 0.591021 0.053713 
0.017609 0.733360 0.273293 0.564226 
0.542680 0.803003 0.686605 0.787683 
0.492111 0.066317 0.649586 0.375988 
0.086184 0.833674 0.817835 0.103244 
0.280709 0.904324 0.293741 0.660634 
0.506638 0.972076 0.535600 0.554827 
0.099551 0.962218 0.471145 0.391644 
0.574816 0.831416 0.222999 0.325144 
0.404187 0.861843 0.351482 0.954344 
0.451369 0.980590 0.021058 0.448256 
0.721427 0.135746 0.997284 0.180822 
0.581225 0.260537 0.879513 0.656941 
0.106662 0.856227 0.476882 0.010346 
0.713187 0.725761 0.732536 0.855617 
0.725730 0.889035 0.103092 0.774346 
0.044343 0.210639 0.799646 0.217780 
0.561937 0.772485 0.796106 0.106540 
0.489792 0.520920 0.011414 0.908811 
0.248115 0.221290 0.572008 0.478317 
0.076876 0.249916 0.560259 0.433485 
0.023743 0.255440 0.155950 0.358623 
0.465133 0.220252 0.576189 0.608814 
0.816858 0.954131 0.720542 0.999359 
0.590381 0.550005 0.927610 0.161504 
0.451064 0.834681 0.748985 0.845302 
0.434553 0.344157 0.147130 0.950804 
0.977721 0.856380 0.023438 0.569445 
0.920133 0.011078 0.482376 0.815973 
0.132786 0.049471 0.738426 0.733055 
0.929685 0.203864 0.071657 0.049043 
0.919095 0.769097 0.738762 0.070864 
0.450362 0.386822 0.244789 0.492569 
0.313028 0.574023 0.883206 0.401318 
0.843532 0.026734 0.949004 0.262001 
0.096896 0.730705 0.532548 0.161473 
0.239082 0.409467 0.299448 0.093692 
0.815882 0.342112 0.162969 0.567431 
0.055330 0.081118 0.255348 0.317240 
0.859798 0.101749 0.104251 0.399335 
0.643178 0.914731 0.420454 0.453352 
0.670553 0.672445 0.403119 0.411573 
0.055788 0.801355 0.968963 0.436415 
0.073794 0.690237 0.811457 0.367962 
0.943266 0.966826 0.696310 0.462203 
0.736320 0.393384 0.899655 0.701865 
0.571856 0.912809 0.194891 0.460463 
0.747673 0.876217 0.294870 0.801325 
0.968841 0.983520 0.154973 0.192541 
0.327555 0.968078 0.044313 0.919279 
0.191748 0.556871 0.790307 0.974303 
0.657643 0.737175 0.103519 0.708701 
0.723228 0.861110 0.388958 0.023316 
0.838710 0.619465 0.949644 0.382702 
0.990173 0.415967 0.989196 0.432081 
0.972594 0.172735 0.319620 0.499771 
0.008576 0.099307 0.180090 0.765130 
0.369274 0.455275 0.073672 0.373882 
0.152989 0.838496 0.027528 0.282083 
0.878933 0.029908 0.183477 0.109653 
0.050935 0.926542 0.124760 0.785150 
0.348857 0.592944 0.845393 0.262520 
0.602557 0.963897 0.768334 0.091708 
0.205664 0.227912 0.718772 0.123814 
0.125065 0.424512 0.258736 0.132206 
0.162145 0.284707 0.289285 0.631123 
0.622425 0.847591 0.326395 0.672567 
0.049409 0.883267 0.357189 0.903165 
0.179632 0.653645 0.682272 0.661916 
0.773919 0.042543 0.650655 0.400159 
0.482498 0.586077 0.693655 0.205267 
0.399335 0.434614 0.563829 0.708914 
0.462050 0.777703 0.185064 0.161290 
0.353923 0.763237 0.020447 0.952971 
0.064058 0.441847 0.363903 0.364696 
0.762169 0.768059 0.461837 0.827723 
0.143651 0.189093 0.871303 0.474197 
0.902127 0.853298 0.960387 0.260689 
0.484725 0.968413 0.957884 0.444838 
0.787225 0.341838 0.457656 0.696646 
0.944578 0.633717 0.784539 0.625996 
0.873501 0.354015 0.127781 0.007538 
0.723380 0.135228 0.848292 0.483779 
0.891446 0.311533 0.865841 0.028077 
0.758721 0.335917 0.532884 0.948820 
0.803125 0.066408 0.900815 0.715506 
0.245216 0.452864 0.784814 0.388806 
0.884243 0.654958 0.534196 0.934935 
0.278909 0.123630 0.913877 0.206275 
0.931120 0.676412 0.003143 0.869442 
0.626881 0.097812 0.519059 0.061251 
0.592700 0.297159 0.468795 0.055300 
0.621754 0.553331 0.539384 0.718833 
0.827692 0.879482 0.129368 0.042116 
0.181219 0.037721 0.429609 0.521744 
0.486465 0.235481 0.458815 0.677908 
0.952666 0.034852 0.460921 0.488357 
0.018159 0.506058 0.569658 0.019257 
0.582507 0.156102 0.146947 0.034913 
0.302744 0.664602 0.701682 0.866695 
0.110904 0.956786 0.794366 0.323527 
0.607959 0.646199 0.834895 0.924467 
0.491226 0.377575 0.178625 0.234565 
0.671346 0.101321 0.427992 0.586016 
0.234565 0.810999 0.344981 0.964599 
0.907468 0.774834 0.281594 0.344066 
0.179296 0.792749 0.534013 0.248695 
0.739616 0.509842 0.526597 0.825709 
0.385601 0.318033 0.232582 0.208472 
0.057192 0.876614 0.737205 0.452528 
0.154942 0.783197 0.349498 0.824427 
0.797540 0.426496 0.169500 0.725883 
0.174749 0.551866 0.516404 0.033692 
0.652852 0.570910 0.124607 0.136998 
0.787713 0.146580 0.513474 0.452895 
0.902585 0.085025 0.436995 0.702139 
0.386547 0.065035 0.820154 0.725517 
0.370067 0.236915 0.087588 0.122684 
0.933439 0.221595 0.291147 0.494613 
0.504868 0.541337 0.942442 0.570421 
0.604450 0.013581 0.956969 0.000641 
0.589618 0.138615 0.615558 0.097537 
0.559282 0.012848 0.949828 0.303995 
0.072085 0.798669 0.457503 0.672048 
0.835658 0.282052 0.554399 0.132603 
0.022340 0.549730 0.668569 0.837550 
0.368816 0.316080 0.383648 0.354747 
0.714560 0.932432 0.537034 0.998749 
0.136204 0.608539 0.679525 0.076540 
0.334178 0.878658 0.802484 0.331431 
0.426893 0.842982 0.738792 0.364696 
0.810022 0.215400 0.144047 0.317667 
0.236061 0.709555 0.463820 0.594195 
0.771111 0.793725 0.793786 0.905942 
0.784661 0.346232 0.038362 0.420789 
0.628925 0.242561 0.274819 0.296274 
0.163884 0.405255 0.728294 0.378887 
